service_request_id,requested_datetime,service_name,service_subtype,service_details,address,status_description,lat,long
101003290901,2026-01-10T17:22:22.000,Graffiti Public,offensive,signal_box,"INTERSECTION 18TH ST, GUERRERO ST, SAN FRANCISCO, CA 94110",Open,37.76156890175283,-122.42380807302737
101003290894,2026-01-10T17:21:35.000,Graffiti Public,offensive,other,"INTERSECTION 18TH ST, GUERRERO ST, SAN FRANCISCO, CA 94110",Open,37.76158309887023,-122.42382430320235
101003290557,2026-01-10T16:34:53.000,Graffiti Public,not_offensive,mail_box,"295 DOLORES ST, SAN FRANCISCO, CA 94103",Open,37.76490722,-122.42615577
101003290551,2026-01-10T16:33:53.000,Street and Sidewalk Cleaning,garbage_and_debris,other_loose_garbage_debris_yard_waste,"303 DOLORES ST, SAN FRANCISCO, CA 94110",Closed,37.76429871,-122.42610211
101003290541,2026-01-10T16:31:59.000,Graffiti Public,not_offensive,signal_box,"397 DOLORES ST, SAN FRANCISCO, CA 94110",Open,37.763174,-122.4259561
101003289828,2026-01-10T14:58:52.000,Graffiti Public,not_offensive,signal_box,"INTERSECTION 18TH ST, GUERRERO ST, SAN FRANCISCO, CA 94110",Open,37.7615656185,-122.4238005809
101003289824,2026-01-10T14:57:53.000,Graffiti Public,not_offensive,pole,"INTERSECTION 18TH ST, GUERRERO ST, SAN FRANCISCO, CA 94110",Open,37.7615656185,-122.4238005809
101003289777,2026-01-10T14:52:31.000,Street and Sidewalk Cleaning,garbage_and_debris,furniture,"INTERSECTION 18TH ST, GUERRERO ST, SAN FRANCISCO, CA 94110",Closed,37.7615656185,-122.4238005809
101003289680,2026-01-10T14:37:53.000,Graffiti Public,not_offensive,pole,"INTERSECTION 19TH ST, GUERRERO ST, SAN FRANCISCO, CA 94110",Closed,37.7599673118,-122.4236412049
101003289633,2026-01-10T14:32:53.000,RPD General,structural_maintenance,graffiti,"564 DOLORES ST, SAN FRANCISCO, CA 94110",Open,37.75987193,-122.42608425
101003289634,2026-01-10T14:32:53.000,Graffiti Public,not_offensive,pole,"INTERSECTION 19TH ST, DOLORES ST, SAN FRANCISCO, CA 94110",Closed,37.7598295565,-122.4259201843
101003289629,2026-01-10T14:31:52.000,RPD General,structural_maintenance,graffiti,"564 DOLORES ST, SAN FRANCISCO, CA 94110",Closed,37.75987193,-122.42608425
101003289548,2026-01-10T14:20:54.000,Graffiti Public,not_offensive,pole,"INTERSECTION 19TH ST, CHURCH ST, SAN FRANCISCO, CA 94114",Closed,37.7596917063,-122.4282022679
101003287931,2026-01-10T10:24:53.000,Street and Sidewalk Cleaning,garbage_and_debris,other_bagged_boxed_contained_garbage,"INTERSECTION ALERT ALY, DOLORES ST, SAN FRANCISCO, CA 94103",Closed,37.7657736475,-122.426490566
101003287276,2026-01-10T08:11:25.000,Street and Sidewalk Cleaning,garbage_and_debris,christmas_tree,"INTERSECTION 18TH ST, GUERRERO ST, SAN FRANCISCO, CA 94110",Closed,37.76156557699984,-122.42382987238683
101003287275,2026-01-10T08:11:00.000,Graffiti Public,not_offensive,other,"INTERSECTION 18TH ST, GUERRERO ST, SAN FRANCISCO, CA 94110",Open,37.761550995382485,-122.42380029306143
101003284287,2026-01-09T14:43:53.000,Street and Sidewalk Cleaning,garbage_and_debris,christmas_tree,"1067 DOLORES ST, SAN FRANCISCO, CA 94110",Closed,37.75233513,-122.42491758
101003284105,2026-01-09T14:26:53.000,Encampment,encampment,,"344 DOLORES ST, SAN FRANCISCO, CA 94110",Closed,37.76386622,-122.42653251
101003284027,2026-01-09T14:17:53.000,Graffiti Public,not_offensive,signal_box,"INTERSECTION 18TH ST, GUERRERO ST, SAN FRANCISCO, CA 94110",Open,37.7615656185,-122.4238005809
101003283328,2026-01-09T13:03:53.000,Street and Sidewalk Cleaning,garbage_and_debris,other_loose_garbage_debris_yard_waste,"125 DOLORES ST, SAN FRANCISCO, CA 94103",Closed,37.76742685,-122.4264019
101003281650,2026-01-09T10:05:20.000,Street and Sidewalk Cleaning,garbage_and_debris,other_loose_garbage_debris_yard_waste,"INTERSECTION DOLORES ST, 15TH ST, SAN FRANCISCO, CA 94103",Closed,37.766285342206295,-122.42656462517239
101003281283,2026-01-09T09:29:12.000,Street and Sidewalk Cleaning,garbage_and_debris,christmas_tree,"INTERSECTION 16TH ST, DOLORES ST, SAN FRANCISCO, CA 94103",Closed,37.7646456161,-122.4263817266
101003280739,2026-01-09T08:33:02.000,Street and Sidewalk Cleaning,garbage_and_debris,other_loose_garbage_debris_yard_waste,"3 DOLORES ST, SAN FRANCISCO, CA 94103",Closed,37.76897903,-122.42666673
